Unnamed: 0,city,date,time,year,month,day,hour,minute,weather,temp,wind,humidity,barometer,visibility
100000,Mecca,6 August 2017,01:00,2017,8,6,1,0,Clear ,33,9,41%,1000.0,16
100001,Mecca,6 August 2017,02:00,2017,8,6,2,0,Clear ,33,0,44%,1000.0,16
100002,Mecca,6 August 2017,03:00,2017,8,6,3,0,Clear ,32,7,46%,1000.0,16
100003,Mecca,6 August 2017,04:00,2017,8,6,4,0,Clear ,32,11,46%,999.0,16
100004,Mecca,6 August 2017,05:00,2017,8,6,5,0,Clear ,32,9,49%,1000.0,16
100005,Mecca,6 August 2017,06:00,2017,8,6,6,0,Sunny ,31,11,52%,1000.0,16
100006,Mecca,6 August 2017,07:00,2017,8,6,7,0,Sunny ,32,13,52%,1001.0,16
100007,Mecca,6 August 2017,08:00,2017,8,6,8,0,Passing clouds ,33,15,52%,1001.0,-1
100008,Mecca,6 August 2017,09:00,2017,8,6,9,0,Scattered clouds ,34,19,53%,1002.0,-1
100009,Mecca,6 August 2017,10:00,2017,8,6,10,0,Scattered clouds ,35,19,47%,1002.0,-1
100010,Mecca,6 August 2017,11:00,2017,8,6,11,0,Passing clouds ,36,22,44%,1002.0,-1
100011,Mecca,6 August 2017,12:00,2017,8,6,12,0,Passing clouds ,36,28,44%,1001.0,-1
100012,Mecca,6 August 2017,13:00,2017,8,6,13,0,Passing clouds ,35,26,50%,1001.0,-1
100013,Mecca,6 August 2017,14:00,2017,8,6,14,0,Passing clouds ,38,28,35%,1001.0,-1
100014,Mecca,6 August 2017,15:00,2017,8,6,15,0,Passing clouds ,38,33,35%,1000.0,-1
100015,Mecca,6 August 2017,16:00,2017,8,6,16,0,Scattered clouds ,38,35,35%,1000.0,-1
100016,Mecca,6 August 2017,17:00,2017,8,6,17,0,Scattered clouds ,37,33,37%,1000.0,-1
100017,Mecca,6 August 2017,18:00,2017,8,6,18,0,Scattered clouds ,37,33,35%,1000.0,-1
100018,Mecca,6 August 2017,19:00,2017,8,6,19,0,Passing clouds ,36,26,39%,1000.0,-1
100019,Mecca,6 August 2017,20:00,2017,8,6,20,0,Passing clouds ,35,22,44%,1001.0,-1
100020,Mecca,6 August 2017,21:00,2017,8,6,21,0,Passing clouds ,35,19,44%,1001.0,-1
100021,Mecca,6 August 2017,22:00,2017,8,6,22,0,Passing clouds ,34,17,44%,1002.0,-1
100022,Mecca,6 August 2017,23:00,2017,8,6,23,0,Passing clouds ,33,11,46%,1001.0,-1
100023,Mecca,7 August 2017,00:00,2017,8,7,24,0,Clear ,33,20,41%,1000.0,16
100024,Mecca,7 August 2017,01:00,2017,8,7,1,0,Clear ,33,9,41%,1000.0,16
100025,Mecca,7 August 2017,02:00,2017,8,7,2,0,Clear ,33,0,44%,1000.0,16
100026,Mecca,7 August 2017,03:00,2017,8,7,3,0,Clear ,32,7,46%,1000.0,16
100027,Mecca,7 August 2017,04:00,2017,8,7,4,0,Clear ,32,11,46%,999.0,16
100028,Mecca,7 August 2017,05:00,2017,8,7,5,0,Clear ,32,9,49%,1000.0,16
100029,Mecca,7 August 2017,06:00,2017,8,7,6,0,Sunny ,31,11,52%,1000.0,16
100030,Mecca,7 August 2017,07:00,2017,8,7,7,0,Sunny ,32,13,52%,1001.0,16
100031,Mecca,7 August 2017,08:00,2017,8,7,8,0,Passing clouds ,33,15,52%,1001.0,-1
100032,Mecca,7 August 2017,09:00,2017,8,7,9,0,Scattered clouds ,34,19,53%,1002.0,-1
100033,Mecca,7 August 2017,10:00,2017,8,7,10,0,Scattered clouds ,35,19,47%,1002.0,-1
100034,Mecca,7 August 2017,11:00,2017,8,7,11,0,Passing clouds ,36,22,44%,1002.0,-1
100035,Mecca,7 August 2017,12:00,2017,8,7,12,0,Passing clouds ,36,28,44%,1001.0,-1
100036,Mecca,7 August 2017,13:00,2017,8,7,13,0,Passing clouds ,35,26,50%,1001.0,-1
100037,Mecca,7 August 2017,14:00,2017,8,7,14,0,Passing clouds ,38,28,35%,1001.0,-1
